,team,year,salary,z_salary
439,Knicks,2015,86027889,1.023488178180509
440,Thunder,2015,85012190,0.9253473214601801
441,Magic,2015,63043187,-1.1973846844898852
442,Sixers,2015,57467608,-1.7361191912402854
443,Suns,2015,61340442,-1.3619106445196347
444,Trailblazers,2015,73940973,-0.14439747627681623
445,Kings,2015,77580278,0.20724657433914037
446,Spurs,2015,74822052,-0.05926413667690458
447,Raptors,2015,85973705,1.0182527056827175
448,Jazz,2015,64331269,-1.072925104431192
449,Wizards,2015,77573836,0.20662412280675493
